real
18.88
16.15
11.12
11.62
10.68
12.73
15.63
10.51
10.3
10.99
11.07
15.18
10.5
10.41
11.4
11.38
11.37
14.57
14.11
15.45
11.25
11.27
11.16
11.59
10.92
10.75
12.23
11.28
11.65
10.48
11.64
12.41
11.27
11.87
11.39
11.03
11.54
12.09
10.87
11.11
