real
0.58
0.68
0.68
0.63
0.61
0.64
0.64
0.63
0.65
0.67
0.67
0.58
0.61
0.73
0.65
0.59
0.6
0.65
0.62
0.59
0.65
0.67
0.65
0.62
0.63
0.59
0.7
0.6
0.67
0.64
0.66
0.64
0.61
0.68
0.58
0.66
0.6
0.62
0.82
0.6
