real
8.61
1.27
1.27
1.31
1.24
1.25
1.28
1.34
1.38
1.29
1.29
1.28
1.44
1.47
1.22
1.22
1.21
1.22
1.26
1.26
1.27
1.26
1.25
1.45
1.31
1.36
1.22
1.2
1.22
1.21
1.31
1.21
1.23
1.32
1.2
1.33
1.22
1.32
1.36
1.34
