real
3.2
3.01
3.06
2.97
3.25
3.05
3.06
3.5
3.08
3.1
3.13
4.36
3.08
3.09
2.82
2.83
2.85
2.94
2.89
3.02
2.83
2.92
2.96
3.12
3.07
3.2
3.48
3.16
2.85
2.82
3.03
2.83
3.1
2.9
3.1
2.97
2.88
2.81
2.83
2.88

