real
19.83
14.41
14.56
13.32
13.56
13.82
14.65
13.3
15.08
16.8
13.58
15.04
14.47
12.96
12.95
14.05
14.16
14.62
14.53
13.98
13.51
12.71
12.76
12.81
16.16
15.17
13.08
16.24
17.59
19.85
14.31
12.82
14.81
13.45
13.65
14.86
12.86
13.74
13.46
13.08
