real
7.39
4.59
4.68
4.31
4.31
4.66
4.4
4.25
4.28
4.31
4.23
4.24
4.53
4.26
4.26
4.21
4.43
4.2
4.24
4.19
4.52
4.81
4.43
4.8
5.19
4.9
4.74
4.71
4.55
4.45
4.35
4.23
4.29
4.25
4.42
4.75
4.3
4.25
4.24
4.17
