real
16.23
16.38
16.67
18.76
15.46
15.28
16.47
15.93
15.97
15.87
18.68
16.52
18.13
15.96
17.15
16.26
15.68
16.46
16.68
16.79
16.04
20.78
16.97
17.84
16.65
16.68
17.54
16.03
15.81
16.71
17.05
18.85
17.51
18.93
17.17
16.06
15.25
16.79
15.84
16.37
