real
12.14
11.1
10.18
11.94
12.53
10.37
10.31
10.79
10.23
11.14
10.54
11.96
11.01
10.8
10.66
12.12
10.48
10.57
10.41
10.34
10.29
11.14
10.55
9.97
9.99
9.81
10.14
11.04
10.21
10.54
10.52
9.91
9.97
10.26
10.9
10.4
10.63
10.99
12.17
12.89
